Ministerio de Cultura,Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa MINCULT
Ministerio de Cultura,Secretaría de Patrimonio Cultural,Museo Nacional de Bellas Artes,Museo Nacional de Bellas Artes
Ministerio de Cultura,Secretaría de Patrimonio Cultural,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos","Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos"
Ministerio de Cultura,Secretaría de Patrimonio Cultural,Instituto Nacional Sanmartiniano,Instituto Nacional Sanmartiniano
Ministerio de Cultura,Secretaría de Patrimonio Cultural,Instituto Nacional Yrigoyeneano,Instituto Nacional Yrigoyeneano
Ministerio de Cultura,Secretaría de Patrimonio Cultural,Instituto Nacional de Investigaciones Históricas J.M. DE ROSAS,Instituto Nacional de Investigaciones Históricas J.M. DE ROSAS
Ministerio de Cultura,Secretaría de Patrimonio Cultural,Instituto Nacional Belgraniano,Instituto Nacional Belgraniano
Ministerio de Cultura,Secretaría de Patrimonio Cultural,Instituto Nacional Browniano,Instituto Nacional Browniano
Ministerio de Cultura,Secretaría de Patrimonio Cultural,Instituto Nacional Newberiano,Instituto Nacional Newberiano
Ministerio de Cultura,Secretaría de Patrimonio Cultural,Instituto Nacional de Investigaciones Históricas Eva Perón,Instituto Nacional de Investigaciones Históricas Eva Perón
Ministerio de Cultura,Secretaría de Desarrollo Cultural,Secretaría de Desarrollo Cultural,Secretaría de Desarrollo Cultural
Ministerio de Cultura,Secretaría de Gestión Cultural,Secretaría de Gestión Cultural,Secretaría de Gestión Cultural
Ministerio de Cultura,Comisión Nacional Protectora de Bibliotecas Populares,Comisión Nacional Protectora de Bibliotecas Populares,Comisión Nacional Protectora de Bibliotecas Populares
Ministerio de Cultura,Casa Creativa del Sur,Casa Creativa del Sur,Casa Creativa del Sur
Ministerio de Cultura,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores MINCULT
Ministerio de Desarrollo Territorial y Hábitat,Secretaría de Hábitat,Subsecretaría de Políticas de Vivienda e Infraestructuras,Subsecretaría de Políticas de Vivienda e Infraestructuras
Ministerio de Desarrollo Territorial y Hábitat,Secretaría de Integración Socio-Urbana,Subsecretaría de Gestión de Tierras y Servicios Barriales,Subsecretaría de Gestión de Tierras y Servicios Barriales
Ministerio de Desarrollo Territorial y Hábitat,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores MINDESATERR
Ministerio de Desarrollo Territorial y Hábitat,Secretaría de Desarrollo Territorial,Subsecretaría de Política de Suelo y Urbanismo,Subsecretaría de Política de Suelo y Urbanismo
Ministerio de Desarrollo Territorial y Hábitat,Secretaría de Coordinación,Subsecretaría Administrativa,Subsecretaría Administrativa MINDESATERR
Ministerio de Desarrollo Territorial y Hábitat,Secretaría de Coordinación,Subsecretaría Legal,Subsecretaría Legal MINDESATERR
Ministerio de Defensa,Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa MINDEF
Ministerio de Defensa,Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa,Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa,Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa
Ministerio de Defensa,"Secretaría de Investigación, Política Industrial y Producción para la Defensa",Subsecretaría de Investigación Científica y Política Industrial para la Defensa,Subsecretaría de Investigación Científica y Política Industrial para la Defensa
Ministerio de Defensa,Secretaría de Estrategia y Asuntos Militares,Subsecretaría de Ciberdefensa,Subsecretaría de Ciberdefensa
Ministerio de Defensa,Secretaría de Estrategia y Asuntos Militares,Subsecretaría de Planeamiento Estratégico y Política Militar,Subsecretaría de Planeamiento Estratégico y Política Militar
Ministerio de Defensa,Estado Mayor Conjunto de las Fuerzas Armadas,Estado Mayor Conjunto de las Fuerzas Armadas,Estado Mayor Conjunto de las Fuerzas Armadas
Ministerio de Defensa,Estado Mayor General del Ejército Argentino,Estado Mayor General del Ejército Argentino,Estado Mayor General del Ejército Argentino
Ministerio de Defensa,Estado Mayor General de la Armada Argentina,Estado Mayor General de la Armada Argentina,Estado Mayor General de la Armada Argentina
Ministerio de Defensa,Estado Mayor General de la Fuerza Aérea Argentina,Estado Mayor General de la Fuerza Aérea Argentina,Estado Mayor General de la Fuerza Aérea Argentina
Ministerio de Defensa,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores MINDEF
Ministerio de Defensa,Secretaría de Coordinación Militar en Emergencias,Subsecretaría de Planeamiento y Coordinación Ejecutiva en Emergencias,Subsecretaría de Planeamiento y Coordinación Ejecutiva en Emergencias
Ministerio de Defensa,Secretaría de Asuntos Internacionales para la Defensa,Subsecretaría de Asuntos Internacionales,Subsecretaría de Asuntos Internacionales
Ministerio de Desarrollo Social,Secretaría de Gestión Administrativa,Secretaría de Gestión Administrativa,Secretaría de Gestión Administrativa MINDESSOC
Ministerio de Desarrollo Social,Secretaría de Articulación de Política Social,Subsecretaría de Asistencia Crítica,Subsecretaría de Asistencia Crítica
Ministerio de Desarrollo Social,Secretaría de Articulación de Política Social,Subsecretaría de Articulación y Comunicación Comunitaria,Subsecretaría de Articulación y Comunicación Comunitaria
Ministerio de Desarrollo Social,Secretaría de Economía Social,Comisión Nacional de Coordinación del Programa de Promoción del Microcrédito para el Desarrollo de la Economía Social,Comisión Nacional de Coordinación del Programa de Promoción del Microcrédito para el Desarrollo de la Economía Social
Ministerio de Desarrollo Social,Secretaría de Economía Social,Subsecretaría de Promoción de la Economía Social y Desarrollo Local,Subsecretaría de Promoción de la Economía Social y Desarrollo Local
Ministerio de Desarrollo Social,Secretaría de Economía Social,Subsecretaría de Políticas de Integración y Formación,Subsecretaría de Políticas de Integración y Formación
Ministerio de Desarrollo Social,"Secretaría Nacional de Niñez, Adolescencia y Familia","Subsecretaría de Derechos para la Niñez, Adolescencia y Familia","Subsecretaría de Derechos para la Niñez, Adolescencia y Familia"
Ministerio de Desarrollo Social,"Secretaría Nacional de Niñez, Adolescencia y Familia",Subsecretaría de Primera Infancia,Subsecretaría de Primera Infancia
Ministerio de Desarrollo Social,Secretaría de Inclusión Social,Instituto Nacional de Juventud,Instituto Nacional de Juventud
Ministerio de Desarrollo Social,Secretaría de Inclusión Social,Subsecretaría de Inclusión e Integración Social,Subsecretaría de Inclusión e Integración Social
Ministerio de Desarrollo Social,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores MINDESSOC
Ministerio de Desarrollo Social,Secretaría de Abordaje Integral,Subsecretaría de Abordaje Territorial,Subsecretaría de Abordaje Territorial
Ministerio de Desarrollo Social,Secretaría de Abordaje Integral,Subsecretaría de Desarrollo Humano,Subsecretaría de Desarrollo Humano
Ministerio de Educación,Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa MINEDUC
Ministerio de Educación,Instituto Nacional de Formación Docente,Instituto Nacional de Formación Docente,Instituto Nacional de Formación Docente
Ministerio de Educación,Secretaría General del Consejo Federal de Educación,Secretaría General del Consejo Federal de Educación,Secretaría General del Consejo Federal de Educación
Ministerio de Educación,Instituto Nacional de Educación Tecnológica,Instituto Nacional de Educación Tecnológica,Instituto Nacional de Educación Tecnológica
Ministerio de Educación,Secretaría de Políticas Universitarias,Subsecretaría de Políticas Universitarias,Subsecretaría de Políticas Universitarias
Ministerio de Educación,Secretaría de Políticas Universitarias,Subsecretaría de Fortalecimiento de Trayectorias Estudiantiles,Subsecretaría de Fortalecimiento de Trayectorias Estudiantiles
Ministerio de Educación,Secretaría de Evaluación e Información Educativa,Secretaría de Evaluación e Información Educativa,Secretaría de Evaluación e Información Educativa
Ministerio de Educación,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores MINEDUC
Ministerio de Educación,Secretaría de Educación,Subsecretaría de Gestión Educativa y Calidad,Subsecretaría de Gestión Educativa y Calidad
Ministerio de Educación,Secretaría de Educación,Subsecretaría de Educación Social y Cultural,Subsecretaría de Educación Social y Cultural
Ministerio de Educación,Secretaría de Educación,"Subsecretaría de Planeamiento, Prospectiva e Innovación","Subsecretaría de Planeamiento, Prospectiva e Innovación"
Ministerio de Educación,Secretaría de Cooperación Educativa y Acciones Prioritarias,Subsecretaría de Políticas de Cooperación Internacional,Subsecretaría de Políticas de Cooperación Internacional
Ministerio de Educación,Secretaría de Cooperación Educativa y Acciones Prioritarias,Subsecretaría de Participación y Democratización Educativa,Subsecretaría de Participación y Democratización Educativa
"Ministerio de las Mujeres, Géneros y Diversidad",Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa MINMUJER
"Ministerio de las Mujeres, Géneros y Diversidad","Subsecretaría de Formación, Investigación y Políticas Culturales para la Igualdad","Subsecretaría de Formación, Investigación y Políticas Culturales para la Igualdad","Subsecretaría de Formación, Investigación y Políticas Culturales para la Igualdad"
"Ministerio de las Mujeres, Géneros y Diversidad",Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores MINMUJER
"Ministerio de las Mujeres, Géneros y Diversidad",Secretaría de Políticas contra la Violencia por Razones de Género,Subsecretaría de Abordaje Integral de las Violencias por Razones de Género,Subsecretaría de Abordaje Integral de las Violencias por Razones de Género
"Ministerio de las Mujeres, Géneros y Diversidad",Secretaría de Políticas contra la Violencia por Razones de Género,Subsecretaría de Programas Especiales contra la Violencia por Razones de Género,Subsecretaría de Programas Especiales contra la Violencia por Razones de Género
"Ministerio de las Mujeres, Géneros y Diversidad",Secretaría de Políticas de Igualdad y Diversidad,Subsecretaría de Políticas de Igualdad,Subsecretaría de Políticas de Igualdad
"Ministerio de las Mujeres, Géneros y Diversidad",Secretaría de Políticas de Igualdad y Diversidad,Subsecretaría de Políticas de Diversidad,Subsecretaría de Políticas de Diversidad
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Subsecretaría de Asuntos Legales e Institucionales,Subsecretaría de Asuntos Legales e Institucionales,Subsecretaría de Asuntos Legales e Institucionales
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Subsecretaría de Asuntos Nacionales,Subsecretaría de Asuntos Nacionales,Subsecretaría de Asuntos Nacionales
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Secretaría de Coordinación y Planificación Exterior,Secretaría de Coordinación y Planificación Exterior,Secretaría de Coordinación y Planificación Exterior
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Secretaría de Relaciones Económicas Internacionales,Subsecretaría del Mercosur y Negociaciones Económicas Internacionales,Subsecretaría del Mercosur y Negociaciones Económicas Internacionales
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Secretaría de Relaciones Económicas Internacionales,Subsecretaría de Promoción del Comercio e Inversiones,Subsecretaría de Promoción del Comercio e Inversiones
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Secretaría de Relaciones Económicas Internacionales,Subsecretaría de Negociaciones Económicas Multilaterales y Bilaterales,Subsecretaría de Negociaciones Económicas Multilaterales y Bilaterales
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Secretaría de Relaciones Exteriores,Subsecretaría de Asuntos de América Latina,Subsecretaría de Asuntos de América Latina
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Secretaría de Relaciones Exteriores,Subsecretaría de Política Exterior,Subsecretaría de Política Exterior
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Secretaría de Culto,Secretaría de Culto,Secretaría de Culto
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Secretaría de Malvinas, Antártida y Atlántico Sur","Secretaría de Malvinas, Antártida y Atlántico Sur","Secretaría de Malvinas, Antártida y Atlántico Sur"
"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores
"Ministerio de Trabajo, Empleo y Seguridad Social","Subsecretaría de Planificación, Estudios y Estadísticas","Subsecretaría de Planificación, Estudios y Estadísticas","Subsecretaría de Planificación, Estudios y Estadísticas"
"Ministerio de Trabajo, Empleo y Seguridad Social",Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa
"Ministerio de Trabajo, Empleo y Seguridad Social",Subsecretaría de Articulación Territorial,Subsecretaría de Articulación Territorial,Subsecretaría de Articulación Territorial
"Ministerio de Trabajo, Empleo y Seguridad Social",Secretaría de Seguridad Social,Secretaría de Seguridad Social,Secretaría de Seguridad Social
"Ministerio de Trabajo, Empleo y Seguridad Social",Secretaría de Trabajo,Subsecretaría de Fiscalización del Trabajo,Subsecretaría de Fiscalización del Trabajo
"Ministerio de Trabajo, Empleo y Seguridad Social",Secretaría de Trabajo,Subsecretaría de Políticas de Inclusión en el Mundo Laboral,Subsecretaría de Políticas de Inclusión en el Mundo Laboral
"Ministerio de Trabajo, Empleo y Seguridad Social",Secretaría de Empleo,Subsecretaría de Formación Profesional y Capacitación Permanente,Subsecretaría de Formación Profesional y Capacitación Permanente
"Ministerio de Trabajo, Empleo y Seguridad Social",Secretaría de Empleo,Subsecretaría de Promoción del Empleo,Subsecretaría de Promoción del Empleo
"Ministerio de Trabajo, Empleo y Seguridad Social",Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores
Ministerio de Turismo y Deportes,Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa,Subsecretaría de Gestión Administrativa
Ministerio de Turismo y Deportes,Subsecretaría de Relaciones Institucionales y Cooperación Internacional,Subsecretaría de Relaciones Institucionales y Cooperación Internacional,Subsecretaría de Relaciones Institucionales y Cooperación Internacional
Ministerio de Turismo y Deportes,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores,Unidad Gabinete de Asesores
Ministerio de Turismo y Deportes,Secretaría de Desarrollo Turístico,"Subsecretaría de Calidad, Accesibilidad y Sustentabilidad del Turismo Nacional","Subsecretaría de Calidad, Accesibilidad y Sustentabilidad del Turismo Nacional"
Ministerio de Turismo y Deportes,Secretaría de Desarrollo Turístico,Subsecretaría de Desarrollo Estratégico,Subsecretaría de Desarrollo Estratégico
Ministerio de Turismo y Deportes,Secretaría de Promoción Turística,Subsecretaría de Promoción Turística y Nuevos Productos,Subsecretaría de Promoción Turística y Nuevos Productos
Ministerio de Turismo y Deportes,Secretaría de Deportes,Subsecretaría de Infraestructura Deportiva y Competencias Nacionales,Subsecretaría de Infraestructura Deportiva y Competencias Nacionales
Ministerio de Turismo y Deportes,Secretaría de Deportes,Subsecretaría de Desarrollo Integral de la Actividad Deportiva,Subsecretaría de Desarrollo Integral de la Actividad Deportiva
